Repeticao,Pacotes I,Pacotes Non-I
15,740,7668
16,706,7711
17,696,7695
18,705,7676
19,643,7663
20,675,7695
21,672,7655
22,690,7710
23,684,7715
24,721,7685
25,758,7682
26,678,7688
27,744,7705
28,724,7722
29,594,7690
30,712,7698
31,660,7690
32,695,7696
33,708,7653
34,733,7715
35,715,7668
36,689,7679
37,656,7710
38,701,7699
39,708,7703
40,645,7678
41,625,7672
42,732,7674
43,613,7676
44,675,7698
45,707,7672
46,649,7691
47,753,7695
48,766,7686
49,683,7696
50,743,7694
51,740,7700
52,694,7681
53,718,7683
54,627,7668
55,714,7683
56,683,7715
57,664,7708
58,770,7696
59,704,7694
60,718,7697
61,734,7715
62,627,7684
63,720,7691
64,651,7693
65,721,7676
66,668,7696
67,667,7686
68,713,7701
69,688,7714
70,681,7711
71,668,7675
72,743,7683
73,667,7724
74,703,7685
75,670,7688
76,672,7717
77,723,7680
78,694,7693
79,640,7716
80,678,7678
81,673,7676
82,649,7705
83,730,7728
84,690,7687
85,645,7716
86,703,7700
87,656,7667
88,715,7694
89,703,7686
90,715,7725
91,660,7662
92,673,7670
93,658,7684
94,724,7693
95,747,7718
96,769,7728
97,705,7680
98,680,7696
99,676,7645
100,680,7707
101,660,7708
102,232,2364
